	urlDrugName	rating	effectiveness	sideEffects	condition	benefitsReview	sideEffectsReview	commentsReview
3313	zoloft	8	Highly Effective	Mild Side Effects	depression	I have tried so many anti depressants and always go back to zoloft.. works the best and is least expensive.. $10 a month compared to cymbalta for $400 a month.. It really works for me well.	a little dizzy at first but thats it.. only a few days If you miss it for a few days you will have some withdrawls.. light headedness and jittery	Just makes you feel better... see pych once a month then see a therapist as often as needed.. its always best to combine the two
580	acyclovir	5	Moderately Effective	No Side Effects	herpes	This drug did not completely eliminate outbreaks. While it may have diminished length and extent of outbreak, still had more than expected. Decided not to take any longer and had better results taking Olive Leaf extract daily	none	prescribed as a daily preventive for herpes outbreak.
3445	provera	3	Marginally Effective	Severe Side Effects	hormones	resume ovulation and maintain hormonal balance	Horrible mood swings, crying episodes, confusion.	In order to correct Polycystic ovarian syndrom and to get pregnant I was given Progestin and clomid to resume ovulation. I would NEVER* take either of these synthetics again! I was a basketcase with mood swings, crying, depression etc.. and once I discontinued use I was able to return to a normal mental state. I used this for over 3 months while my poor family suffered, never recieving the results I hoped for. I achieved results only when I went natural and used a natural progetserone cream from AIM made with wild yam and instead of horrific side effects I had pleasant ones...my acne cleared, my insomnia got better and my overall mood was improved, 3 months later I was pregnant! I will always try herbal before synthetics from now on.
1867	augmentin	9	Highly Effective	Moderate Side Effects	sinus infection	All symptoms of sinus infection gone by third day.	From taking Augmentin before in the past, I knew that the way to avoid the nausea was to take it with food PLUS a large glass of orange juice. I forgot the first time, and was nauseous. Once I started taking the pill with orange juice, I was no longer nauseous. But I had diarrhea from the second day onwards, plus a yeast infections that I treated with myconazole and probiotics.	Twice a day for 5 days with large glasses of orange juice, which cuts the nausea.
571	atenolol	7	Considerably Effective	Severe Side Effects	supraventricular tachycardia	Lowered heart rate from 100bpm+ to 65-75bpm and held blood pressure at a near-perfect level. Episodes of extremely high heart rate (200bpm+) suddenly initiating and sustaining for several hours diminished in frequency from at least once every 1-2 weeks to three times over one year.	Previously on Metoprolol tartrate and later Metoprolol succinate (both varying doses) and experienced severe dizziness/light-headedness, heavy-chested, and shortness of breath. Also experienced severe exercise intolerance. These symptoms remain when switched to Atenolol, but at much less severe levels. On Atenolol, also experience short-term memory loss, vertigo, constipation, indigestion.	After diagnosed with tachycardia, prescribed metoprolol tartrate at varying doses over course of a few months (lowest dose possible was not high enough to keep heart rate low and next highest dose possible was too high, i.e, produced extreme shortness of breath/tight and heavy chest/dizziness. On the positive side, the medicine did slow heart rate and reduced episodes of extremely high heart rate. Next, prescribed metoprolol succinate with similar benefits and side effects. On both meds, side effects were too severe to function day to day. So I was put on Atenolol, and it has worked for me much better. Heart rate is held at a safe rate, and is more consistent than when on the metoprolol. Symptoms of dizziness, heavy chestedness, etc. are still present but highly diminished (I can at least perform normal daily functions now). Now I have additional symptoms of vertigo after elevator rides, indigestion, constipation, and short term memory loss (but nothing that I can't function with). Recently, doctors suggested a catheter ablation, as they discovered a source of my problems to be the presence of extra electrical pathways in my heart.
2056	prempro	4	Moderately Effective	Severe Side Effects	menopause	Got rid of hot flashes but made other things much worse.	Depression, osteoporosis, vaginal dryness, and fatigue.	Daily pill. However, estrogen derived from mares is not bio-identical to humans and causes breast cancer. Also, progestin is only a synthetic version of progesterone, and we need progesterone for many, many things.
1068	botox	1	Moderately Effective	Extremely Severe Side Effects	cosmetic/frown lines	Did have elimination of frown lines and crows feet but no one cares about having wrinkles or not when you are paralyzed.  Sadly wrinkles returned in 6 months but large nerves in my legs and and body continue to suffer daily with weakness several years later.   Risks too great for some temporary cosmetic procedure	"Botulism.  Permanent disability.  Neuropathy, autonomic nerve injury. chronic myalgias.  Chronic nerve pain
Chronic long term muscle weakness. Difficulty breathing, difficulty swallowing, blurry vision. Disabling muscle weakness.  permanent paresthesias."	Injected by qualified personnel.  National Botox trainer.  Used 50 units total with a dilution of 1cc per 100 unit vial.  injected with several sites at frown lines and crows feet.
347	neurontin	9	Highly Effective	Mild Side Effects	pain relief	After suffering a spinal cord injury in 1987 resulting in quadriplegia (C5/C6 complete), I experienced disassociated pain that was concentrated in my right thumb.  The problem got increasingly worse over the following years.  I ended up having to take a lot of ibuprofen and Vicodin, just to relieve the pain announce to allow me to get some work done.  However, the resulting side effects caused me to sleep a lot.  It also lead to depression.  I was finally given a prescription for gabapentin to try out.  It started working almost immediately.  After about two weeks I was rarely having the pain in my thumb anymore.  It doesn't cause me to get sleepy or feel drugged (like the Vicodin) so I have been able to work and concentrate on things once again.  It also seems to have helped with my depression, although that may have more to do with not having to deal with the pain, or the side effects of the pain relievers I was taking before.	I have noticed very little side effects at all.  I was told it may affect the effectiveness of other pain relievers, but so far I have not noticed that -- when I needed to take a Vicodin when my thumb did still hurt on occasion.  I have on rare occasions noticed some dizziness, although I am not sure I can attribute that to the drug (I have low blood pressure because of my spinal cord injury that can sometimes cause that to happen as well).	I take the medication three times a day as prescribed, drinking at least a cup of water with each dose.  I was originally taking a smaller dose of the gabapentin, but after about six months my thumb pain started to become more frequent again.  However, my doctor prescribe me a higher dose and that helped.  I do still have problems with the pain from time to time, but not at all like I used to.  All in all the drug has made a huge difference in my life thus far.
2552	dexedrine	1	Ineffective	Moderate Side Effects	add	"Dexedrine as well as effexor, I found for my add works well the first few times, then the efficacy wears
off because of tolerance.

So now I take supplements, and find they work just as well but take 2 months to feel effects."	"when my doctor increase dexedrine to 30 mg, I got speed but not the focus and I became OCD-seriously.
It kept me up all night.

Effexor which i took for 10 years numbs you out.  I was on 75 mg for add and depression.  I did cure depression but not really the add."	"already described above.  I do not believe in pharmacuticals for neurological disorders.

Supplements can provide benefits, but the process is long and expensive.  There is not standard cure
for any central nervous condition.  It takes time and reading and research, and taking a pill is only a short term solution.  I had allergies and my homeopathic doctor cleared my pathways that were not getting nutrients to my brain.  I am now dieting and staying away from gluten and lactose and processed food.

I'm doing detoxing and find with all the natural changes I have increased energy and do not have to depend on drugs.

Who know what the side effects are?  I could have aged my liver."
3417	aricept	9	Highly Effective	No Side Effects	2	"I can recommend a reputable pharmacy (Aricept) - pill24.org I received the order and it was on time and the pills work great.
P.S. 5% discount coupon code: 9sh73h"	"I can recommend a reputable pharmacy (Aricept) - pill24.org I received the order and it was on time and the pills work great.
P.S. 5% discount coupon code: 9sh73h"	"I can recommend a reputable pharmacy (Aricept) - pill24.org I received the order and it was on time and the pills work great.
P.S. 5% discount coupon code: 9sh73h"
2466	aciphex	10	Highly Effective	No Side Effects	stomach nervousness	This medicine was very effective.  It calms my stomach and I do not feel constant contraction and nervousness in my stomach.	No side effects for me.	Doctor performed a colonscopy to role out cancer then he prescribed this medicne.  I have been taking it for the last three years, one a day.  Once I ran out and did not take it for a few days and all of my previous symptems came back.
682	accutane	7	Considerably Effective	Moderate Side Effects	acne	The accutane dried my skin and it was not oily like before I took the drug.  It helped in newly developing acne and cleared up the acne I already had.	While it helped my face, it consequently dried out the skin on my whole body as well. This was the third time I had treatment with accutane.  I still have some under-the-skin bumps but they are not as severe as they originally were.	This was an oral treatment and the regimine was twice daily.  I had to constantly use a moisturizer and my lips became the most dried and cracked than they had ever been before.
547	propranolol	10	Considerably Effective	Mild Side Effects	tremor	reduction in visible tremor, caused by stress and kinetic movement. 100% reduction in headaches during period.	initial few days, tiredness was evident	four 10mg tablets taken daily throughout period. The medication is a beta blocker and has various medical uses. Including the treatment of high blood pressure, tremor and reduction of migraine. You are advised not to take alcohol whilst taking this medicine.
1612	avage	10	Highly Effective	Mild Side Effects	hormonal acne/sun damage	Skin is clear smooth and brite. Best it has looked in years	initial breakouts worsen, peeling, dryness, redness, burning for the first few weeks and then got better.	The first few weeks were horrible with bad break outs, dryness, burning, redness, Peeling, It was a nightmare. Almost gave up on it but my dr would not let me. I then started using a moisteriser right after washing my face and then waited 1/2 hour to 1 hour before the Taz. Symptoms eased up and now my skin is beautiful. This stuff Rocks. Don't give up and keep it off of your lips!
3173	prednisone	4	Marginally Effective	Mild Side Effects	itching body rash	Allowed client to sleep without itching.	restlessness during the day. Nightmares.	Client developed rash with many itchy bumps, could not get sleep or keep hands off bumps. Prednisone temporarily provided the client with mild relief, also calamine lotion was applied topically and seemed to provide some relief. Rash is subsiding mildly after one week of the Prednisone and calamine lotion. I would say if this symptom comes back that the client would use it again based on this experience.
2281	lexapro	7	Considerably Effective	Moderate Side Effects	depression	ability to function/interact better especially in public.	nausea dizzyness	started on 5mg then 10mg then 20mg then was brought down again to 10mg over the two year period.  combined with monthly psychiatric follow ups.
3161	prednisone	7	Highly Effective	Moderate Side Effects	crohns	reduced bowel inflammation over a long period of time. when flare ups were severe, patient had to increase dose to 40mg daily and the dosage was tappered back to original dosage of 10mg.	there was a loss in bone density. however, after introducing actonel the patient's bone density did improve. also, the patient did report problems with concentration and did report mood swings.	the treatment was used because the condition was not improving with the use of other medications. therefore, after introducing prednisone the patient's condition improved significantly. when the patient stopped taking the medications it resulted in the resurgence of a flare up.
1177	prozac	8	Highly Effective	Mild Side Effects	depression	Depression was lifted. Anxiety lessened. General feeling of well-being for the first time in my entire life.	decreased sexual function, horrific time trying to stop using it. I was told by many doctors there were no withdrawal symptoms so I thought I was crazy, but I was not. THe withdrawal was very hard and it took me several attempts before I could get off it.	"I began taking 10 mg. in the morning and 10 mg. at night. THis was the best dose, but as I began to feel the need to get off the drug I eliminated the 10 mg at night. I felt a slight drop in well-being, but adjusted to it.
THe withdrawal rom only 10 mg took several months and required the substitution of wellbutrin on order to get through it.
I now take 150mg of wellbutrin which has a mood stabilizing effect, but not the feeling of ""well-being"" I had from prozac."
87	pristiq	7	Moderately Effective	Moderate Side Effects	depression	The drug helped to lift me out of the worst part of the depression, but it's not a complete cure.	"Nausea that varied from day to day. Some days were almost unnoticeable while others were almost intolerable. Didn't get any better the longer I took the meds.

Constipation and Diaohhrea. Swings between the two which is really annoying."	No medication is a complete cure for depression. I had tried at least half a dozen other medications before we settled on this one.
1773	citalopram	2	Ineffective	Moderate Side Effects	depression	none particularly, i guess my appetite was reduced but after a while thats not a good thing. i only took them for 2 weeks so i didn't give then enough time to kick in and work probably because the side effects were too much to take	apathy, tiredness, sleeplessness, felt worse; emotionally numbing. I couldn't stay awake in the day and just wanted to lie down and had zero motivation to do anything. I also had bad headaches, different to my normal migraines.	after 2 weeks  stopped taking the drug - i felt ill for days afterwards then decided to improve my diet, exercise and attitude and now feel a lot better
