	urlDrugName	rating	effectiveness	sideEffects	condition	benefitsReview	sideEffectsReview	commentsReview
1325	prevacid	10	Highly Effective	No Side Effects	stomach pain	After 2 days of taking the medication my stomach pain subsided.  The burning i also began to go away.  it took a full week for everything to return to normal for mw.	While I have been taking the medicaion I have not experience any side effects.  The only thing that bothered me was that it took about 2 dayss to see improvement which was not a long time but when you are uncomfortable it seems much longer.	Went to doctor because of burning and pain in my stomach.  As long as I was consantly full my stomach was better but the second it became empty I was back to being uncomfortable.  I want to get rid of these symptoms before I became over weight so i went to my doctor and he started me on 60 mg for 1 week and then I was changed to 30 mg once a day and after a couple of days I felt much better. and have every since.
2542	cosopt	9	Considerably Effective	Mild Side Effects	glaucoma	The pressure in my eyes decreased with use over a period of four months.	There is a mild burning in my eyes for a couple of minutes after the drops are out in.	The drops are administered twice a day approximately 12 hours apart. It is usually necessary to keep eyes closed for a minute or two until the burning subsides.
2118	renova	6	Moderately Effective	Moderate Side Effects	sun damage & fine lines	Skin in certain areas (e.g. forehead, cheeks) sun damage became less noticeable. Fine lines have slightly improved. However fine lines on the lower eyelids have become worse. It was therefore, not used on fine lines on the lower eyelids the entire 1 year. I have used it approximately 4 months out of the 1 year in this area. It made it crease up and look wrinkled	"Dry skin. Flaky Skin. Breakouts during the first 6-8 weeks.
Irritation to my lips even though I do not apply it here. My lips feel sore by the next morning. Under eyes creasing up"	Renova applied once at nightime approx 20 minutes after cleansing. If skin was particularly dry a light moisturiser would be applied approximately 20 minutes after the Renova was applied
175	depakote	4	Highly Effective	Severe Side Effects	seizure disorder	The med. controlled my seizure disorder.	"The side effects were terrible. I endured daily moderate to severe headaches which I had to treat with high dosage of ibuprofen and a 50 lb. weight gain over two months on a 5'2"" frame with no change in my diet. I could not shake the weight until I discontinued taking the med."	Treatment was to take the med. daily. It controlled the seizure disorder but the side effects were too much for me. I talked to the physician after two years and said it's gotta go. He then prescribed Lamictal and I lost 40 lbs. in one month--simply by stopping the Depakote.
985	tekturna	10	Highly Effective	Mild Side Effects	hypertension	Very well managed blood pressure within normal, healthy range.  I had an allergic reaction to a more common blood pressure medication, Lisinopril (which is a combination of a thiazide diuretic and an ACE inhibitor).  The newer Tekturna has worked perfectly for me with only the slightest dizziness when I rose too quickly early on, but no side effects at all after the first few weeks.	I had a very slight issue, early on in treatment (in the first few weeks only), of slight dizziness when rising quickly from either laying down or from bending over with my head down (such as when petting my cat when she was laying on the floor), but that fully resolved quite quickly. I have not had any other side effects at all.	I take one 300mg Tekturna per day, in the morning, along with 10mg of Terazosin (Hytrin) and my blood pressure is wonderfully under control. My last blood pressure reading was 110/66 which is perfect!
2120	renova	10	Highly Effective	Mild Side Effects	wrinkles	smoother skin,less lines on the face and neck area,collagen in skin is firmer and supple	mild flaking, skin can become red and senatize must wear 30 block suncreen	wash face,wait 20 minutes then applied a pea size to dry skin always wear a good suncreen about thirthy percent.  Make sure to apply every two hours
830	zegerid	1	Moderately Effective	Severe Side Effects	acid reflux	The drug reduced the frequency of acid reflux events and the associated pain	After a few days I experienced severe muscle ache in legs such that I had difficulty climbing stairs. I also had overwhelming fatigue and even indigestion	This drug was fairly effective after one week's use week but did not cure the reflux completely and the side effects were very debilitating. I experienced a rebound effect after stopping which lasted for approximately four weeks. After having an endoscopy I was diagnosed with gastritis.
3938	sular	9	Moderately Effective	No Side Effects	mild depression	"Lowered blood pressure.  This was the last prescribed medication for out of control high blood pressure.  Apparently, it takes all three of the medications
to work together. With all of them, my blood pressure is within normal guidelines (or very close), but without any one of them, there is an immediate rise"	None, or at least not enough to be bothersome	This was the last prescribed medication for out of control high blood pressure. I was first diagnosed with  hypertension when I was in my 30's (with no symptoms  - routine check-up) Gradually through the years, it has taken more meds.  Apparently, it takes all three of these medications to work together. With all of them, my blood pressure is within normal guidelines (or very close), but without any one of them, there is an immediate rise
1351	crestor	10	Highly Effective	No Side Effects	high cholesterol	After 60 days on Crestor, 5 mg. per day, in combination with changes to my diet, my LDL (bad) cholesterol fell from 180 mg/dL (high risk) to 95 mg/dL (optimal), a drop of nearly half.  My triglyceride levels were reduced as well.	One side effect my doctor warned me to watch for was loss of muscle density.  I work out with weights usually three times a week.  I noticed no loss of muscle size, tone, or strength while taking Crestor.	"Because my LDL cholesterol was in the ""high risk"" range by American Heart Assn. standards, it was important to lower my risk level quickly.  In addition to taking 5 mg. of Crestor daily, I made disciplined adjustments to my diet.  I cut out animal fats, including dairy fats (like cheese and ice cream).  I cut out trans fats (like partially hydrogenated oils).  I greatly increased my consumption of wheat bran and oat bran, and raw vegetables.  I also took 500 mg. of time-release Niacin with my lunch each day.  Once I got my LDL cholesterol down to below 100 mg/dL, my doctor revised my prescription to only 2.5 mg. Crestor per day.  Since Crestor is not sold in this dosage, I must cut the pills in half.  I was tested again after 60 days at this dosage, and my LDL was still below 100 mg/dL.  And that was with a more relaxed diet."
2075	metformin	9	Highly Effective	No Side Effects	anti-aging prophilatic	At the recommendation of the Life Extension foundation, I was taking 1850 mg per day of metformin prophilatically -- as an anti-aging medicine. Gene assay testing by Biomol resveals that metformin surpresses the Sir1 gene, acting as a calorie reduction memetic. Calorie Reduction is the only currently proven way to extend life span, and the hope is that metformin will mimic this. Resveratro ( herb ) also reputably does this.	None	Metformin reduced my fasting blood glucose by about 10 pints, and my AC1 by 20%.
4016	celexa	6	Considerably Effective	Moderate Side Effects	depression/ anxiety	It made me feel like my old self again, i was able to go to work and actually get things done and the medication took care of the edgy feeling i had and alot of my tendency to fly off the handle.  The medicine seemed to work great except for a few side effects.	The side effects made me yawn alot and very sleep, would take a 4 to 5 hour nap daily.  My joints in my jaws were very stiff and made it almost painful for me to talk and especially where i yawned alot.  I expierenced this side effect one day after taking the medication.	take 20 mg daily and therapy.
2285	lexapro	6	Moderately Effective	Mild Side Effects	depression	Before I started on the drug Lexapro, I felt lethargic and didn't want to get out of bed each morning. I hated getting up and facing the day. I would sit and watch the time pass by. Finally, I went to my Dr. for a checkup and he diagnosed me as being depressed. He put me on Wellbutrin and Lexapro 10 mg. I was instructed to take the pill 2 times per day everyday. For the first week I felt disconnected from myself but by the 2nd week I started to feel as if each morning was something to look forward to. I believe that Lexapro was a great addition to my life during my troubled times.	In the first week of treatment I felt disconnected from myself. I felt fuzzy and had trouble thinking clearly. It was this side effect that made me not want to take the drug anymore but I continued taking it 2 times per day. By the second week the fuzziness began to lift and I felt more like my normal self. After 2 months of taking Lexapro I felt like I was back to my old self again.	Lexapro was taken 2 times a day for 2 months.
768	naproxen	6	Moderately Effective	Mild Side Effects	auto accident, severe whiplash	helped aleviate whip lash symptoms	none that i noticed	i took the medications for the prescribed time and symptoms improved, however, I still have some symptoms which are being treated through physical therapy since the accident was only in December
3856	levoxyl	8	Considerably Effective	Mild Side Effects	low thyroid levels	weight loss, more energy	hair loss at first.  subsided after a few months	"take one pill each morning on an empty stomach with a large glass of water.

each 3 months have blood test to determine the need to increase or decrease the
medicines dose."
2412	synthroid	9	Highly Effective	No Side Effects	hypothyroidism	i have mild hypothyroidism, so i wasn't necessarily aware of what having an underfunctioning was doing to my body.  still, i was able to detect changes (for the better) after taking synthroid for a few months.  the primary benefit i aw was HIGHLY HIGHLY improved concentration, which has made school/work such a pleasure.  i think my metabloism also improved slightly.	none, as far as i could see.	take your pill everyday at the same time.  i found that morning is best, because you need to wait an hour to eat after taking the pill.  i take it right when i wake up, then get ready, and then have breakfast right at the one hour mark.
3756	spironolactone	6	Considerably Effective	Moderate Side Effects	acne	it decreased my acne but never acne free,less oily skin,	irregular menstruation every 20 days,eczema on hand and face and hair loss and hair thinning when taking 100 mg  thats why i stopped taking the drug.	i dont recommend it for acne more than 50 mg a day hair thinning really made me scared of the drug,
